OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
1,-,-,-,"1,700.00",-,"1,500","1,377.20","1,538.05","1,500","17,800.00",300,2.45,3,200,-0.95,2.45,19.07,231,128,139
-,-,-,-,-,-,"1,500","1,322.05","1,488.35","1,500","17,850.00",450,2.3,3.2,150,-0.35,3.2,19.17,66,41,49
1,1,1,-,"1,425.00",-195.45,"1,500","1,282.00","1,438.15","1,500","17,900.00","1,800",2.5,3.7,300,-0.45,2.7,18.17,189,49,303
9,-,-,-,"1,555.00",-,"1,500","1,239.30","1,388.75","1,500","17,950.00",600,2.5,4.2,400,-0.65,4.35,18.81,1,-,26
17,12,16,-,"1,310.00",-175,250,"1,263.65","1,300.15",350,"18,000.00","2,050",3.1,3.2,800,-0.5,3.1,17.34,"10,559","1,738","2,601"
-,-,-,-,-,-,"1,500","1,147.00","1,288.85","1,500","18,050.00","1,450",2.7,4.45,50,-,3.45,17.01,502,126,148
1,-,-,-,"1,300.00",-,"1,500","1,083.95","1,239.20","1,500","18,100.00","1,200",3.5,4,"1,500",-1.05,4.05,16.81,943,228,310
-,-,-,-,-,-,"1,500","1,040.20","1,189.50","1,500","18,150.00","1,800",3.45,4.35,250,-11.1,4.1,16.24,39,20,21
5,4,4,-,"1,111.00",-89,"1,500","1,021.80","1,139.65","1,500","18,200.00","1,800",3.75,14.45,"1,800",0.9,4.6,15.92,930,396,524
3,-,-,-,"1,245.00",-,"1,500",946.9,"1,090.45","1,500","18,250.00",600,3.7,7.55,"1,800",0.8,5,15.51,718,164,185
11,11,11,-,"1,020.00",-232.15,"1,500",896.5,"1,041.05","1,500","18,300.00","1,000",5.25,6.55,50,1.25,6,15.34,"2,945",526,566
-,-,-,-,-,-,"1,500",856.8,992.3,"1,500","18,350.00","1,800",4.35,16.65,"1,800",-0.6,6.6,14.94,131,27,54
5,5,5,-,915,-249.35,"1,750",765.6,929.95,"1,500","18,400.00",200,6.9,16.05,400,2.1,8.1,14.83,"4,520","1,450","1,546"
-,-,-,-,-,-,250,802.35,859.2,250,"18,450.00",150,8.45,9,50,1.45,8.65,14.34,498,207,227
30,28,72,-,821,-129.6,50,771.85,781.85,250,"18,500.00",250,9.7,10.25,50,3.7,10.5,14.2,"20,337","2,630","6,483"
